AF_Learning_1_Airflow_Ranges___ 000CBFE4
PtrSsmGet_Exhaust_Gas_Temperature_P79___ 00063644
PtrSsmGet_Exhaust_Gas_Temperature_at_Catalyst_Inlet_P188___ 00063C08
PtrSsmGet_Exhaust_Gas_Temperature_at_Diesel_Particulate_Filter_DPF_Inlet_P189___ 00063C0C
PtrSsmGet_Exhaust_OCV_Current_Left_P88___ 000636A0
PtrSsmGet_Exhaust_OCV_Current_Right_P87___ 0006369C
PtrSsmGet_Exhaust_OCV_Duty_Left_P86___ 00063698
PtrSsmGet_Exhaust_OCV_Duty_Right_P85___ 00063694
PtrSsmGet_Exhaust_VVT_Advance_Angle_Left_P84___ 00063690
PtrSsmGet_Exhaust_VVT_Advance_Angle_Right_P83___ 0006368C
PtrSsmGet_Final_Initial_Torque_P238___ 00063AF4
PtrSsmGet_Final_Injection_Amount_P156___ 000639B4
PtrSsmGet_Final_Main_Injection_Period_P229___ 00063B88
PtrSsmGet_Fine_Learning_Knock_Correction_P91___ 00063890
PtrSsmGet_Front_O2_Heater_Current_1_P32___ 000632D8
PtrSsmGet_Front_O2_Heater_Current_2_P34___ 000632E0
PtrSsmGet_Front_O2_Sensor_1_P14___ 00063284
PtrSsmGet_Front_O2_Sensor_2_P16___ 00063294
PtrSsmGet_Fuel_Injector_1_Pulse_Width_P21___ 000632AC
PtrSsmGet_Fuel_Injector_2_Pulse_Width_P22___ 000632B0
PtrSsmGet_Fuel_Level_P35___ 000632E4
PtrSsmGet_Fuel_Level_Sensor_Resistance_P119___ 00063660
PtrSsmGet_Fuel_Pressure_High_P78___ 00063640
PtrSsmGet_Fuel_Pump_Duty_P47___ 00063318
PtrSsmGet_Fuel_Pump_Suction_Control_Valve_Current_Actual_P175___ 00063A0C
PtrSsmGet_Fuel_Pump_Suction_Control_Valve_Current_Target_P170___ 00063A04
PtrSsmGet_Fuel_Tank_Air_Pressure_P121___ 000637F4
PtrSsmGet_Fuel_Tank_Pressure_P154___ 00063894
PtrSsmGet_Fuel_Tank_Pressure_P27___ 000632C4
PtrSsmGet_Fuel_Temperature_P31___ 000632D4
PtrSsmGet_Gear_Position_P60___ 00063354
PtrSsmGet_Global_Timing_User_Adjustment_Value_P239___ 000633E8
PtrSsmGet_Idle_Speed_Control_Valve_Duty_Ratio_P41___ 00063300
PtrSsmGet_Idle_Speed_Control_Valve_Step_P44___ 0006330C
PtrSsmGet_Ignition_Total_Timing_P10___ 00063270
PtrSsmGet_Individual_Pump_Difference_Learning_Value_P228___ 00063B0C
PtrSsmGet_Intake_Air_Temperature_P11___ 00063274
PtrSsmGet_Intake_Air_Temperature_combined_P166___ 000639E0
PtrSsmGet_Intake_OCV_Current_Left_P53___ 00063330
PtrSsmGet_Intake_OCV_Current_Right_P52___ 0006332C
PtrSsmGet_Intake_OCV_Duty_Left_P51___ 00063328
PtrSsmGet_Intake_OCV_Duty_Right_P50___ 00063324
PtrSsmGet_Intake_VVT_Advance_Angle_Left_P49___ 00063320
PtrSsmGet_Intake_VVT_Advance_Angle_Right_P48___ 0006331C
PtrSsmGet_Interior_Heater_P178___ 00063BEC
PtrSsmGet_Knock_Correction_Advance_P23___ 000632B4
PtrSsmGet_Learned_Ignition_Timing_Correction_P153___ 00063610
PtrSsmGet_Learned_Ignition_Timing_P29___ 000632CC
PtrSsmGet_Main_Accelerator_Sensor_P76___ 00063638
PtrSsmGet_Main_Injection_Period_P155___ 000639B0
PtrSsmGet_Main_Throttle_Sensor_P74___ 00063630
PtrSsmGet_Manifold_Absolute_Pressure_P7___ 00063260
PtrSsmGet_Manifold_Relative_Pressure_P25___ 000632BC
PtrSsmGet_Mass_Airflow_P12___ 00063278
PtrSsmGet_Mass_Airflow_Sensor_Voltage_P18___ 000632A0
PtrSsmGet_Memorised_Cruise_Speed_P82___ 00063654
PtrSsmGet_MicroQuantityInjection_Final_Learning_Value_11_P208___ 00063B20
PtrSsmGet_MicroQuantityInjection_Final_Learning_Value_12_P209___ 00063B24
PtrSsmGet_MicroQuantityInjection_Final_Learning_Value_13_P210___ 00063B28
PtrSsmGet_MicroQuantityInjection_Final_Learning_Value_14_P211___ 00063B2C
PtrSsmGet_MicroQuantityInjection_Final_Learning_Value_21_P212___ 00063B30
PtrSsmGet_MicroQuantityInjection_Final_Learning_Value_22_P213___ 00063B34
PtrSsmGet_MicroQuantityInjection_Final_Learning_Value_23_P214___ 00063B38
PtrSsmGet_MicroQuantityInjection_Final_Learning_Value_24_P215___ 00063B3C
PtrSsmGet_MicroQuantityInjection_Final_Learning_Value_31_P216___ 00063B40
PtrSsmGet_MicroQuantityInjection_Final_Learning_Value_32_P217___ 00063B44
PtrSsmGet_MicroQuantityInjection_Final_Learning_Value_33_P218___ 00063B48
PtrSsmGet_MicroQuantityInjection_Final_Learning_Value_34_P219___ 00063B4C
PtrSsmGet_MicroQuantityInjection_Final_Learning_Value_41_P220___ 00063B50
PtrSsmGet_MicroQuantityInjection_Final_Learning_Value_42_P221___ 00063B54
PtrSsmGet_MicroQuantityInjection_Final_Learning_Value_43_P222___ 00063B58
PtrSsmGet_MicroQuantityInjection_Final_Learning_Value_44_P223___ 00063B5C
PtrSsmGet_MicroQuantityInjection_Final_Learning_Value_51_P224___ 00063B60
PtrSsmGet_MicroQuantityInjection_Final_Learning_Value_52_P225___ 00063B64
PtrSsmGet_MicroQuantityInjection_Final_Learning_Value_53_P226___ 00063B68
PtrSsmGet_MicroQuantityInjection_Final_Learning_Value_54_P227___ 00063B6C
PtrSsmGet_Mileage_after_Injector_Learning_P176___ 00063A14
PtrSsmGet_Mileage_after_Injector_Replacement_P177___ 00063A3C
PtrSsmGet_Number_of_Exh_Gas_Recirc_Steps_P45___ 00063310
PtrSsmGet_Number_of_Times_Injected_P157___ 000639BC
PtrSsmGet_Oil_Dilution_Ratio_P193___ 00063C1C
PtrSsmGet_Oil_Switching_Solenoid_Valve_OSV_Current_Left_P126___ 00063688
PtrSsmGet_Oil_Switching_Solenoid_Valve_OSV_Current_Right_P125___ 00063684
PtrSsmGet_Oil_Switching_Solenoid_Valve_OSV_Duty_Left_P124___ 00063680
PtrSsmGet_Oil_Switching_Solenoid_Valve_OSV_Duty_Right_P123___ 0006367C
PtrSsmGet_Oil_Temperature_P122___ 00063678
PtrSsmGet_PreInjection_Amount_P234___ 00063AE8
PtrSsmGet_PreInjection_Final_Period_P233___ 00063B80
PtrSsmGet_PreInjection_Interval_P235___ 00063AF0
PtrSsmGet_Pressure_Difference_between_Diesel_Particulate_Filter_DPF_Inlet_and_Outlet_P187___ 00063C04
PtrSsmGet_Pressure_Differential_Sensor_P26___ 000632C0
PtrSsmGet_Primary_Wastegate_Duty_Cycle_P36___ 000632EC
PtrSsmGet_Quantity_Correction_Cylinder_1_P179___ 00063BA0
PtrSsmGet_Quantity_Correction_Cylinder_2_P180___ 00063BA4
PtrSsmGet_Quantity_Correction_Cylinder_3_P181___ 00063BA8
PtrSsmGet_Quantity_Correction_Cylinder_4_P182___ 00063BAC
PtrSsmGet_Radiator_Fan_Control_P92___ 000632E8
PtrSsmGet_Rear_O2_Heater_Current_P33___ 000632DC
PtrSsmGet_Rear_O2_Heater_Voltage_P67___ 00063574
PtrSsmGet_Rear_O2_Sensor_P15___ 0006328C
PtrSsmGet_Roughness_Monitor_Cylinder_1_P63___ 00063564
PtrSsmGet_Roughness_Monitor_Cylinder_2_P64___ 00063568
PtrSsmGet_Roughness_Monitor_Cylinder_3_P69___ 0006358C
PtrSsmGet_Roughness_Monitor_Cylinder_4_P70___ 00063590
PtrSsmGet_Roughness_Monitor_Cylinder_5_P151___ 000635E8
PtrSsmGet_Roughness_Monitor_Cylinder_6_P152___ 0006360C
PtrSsmGet_Running_Distance_since_last_Diesel_Particulate_Filter_DPF_Regeneration_P206___ 00063C98
PtrSsmGet_SCV_Step_P81___ 00063650
PtrSsmGet_SIDrive_Mode_P114___ 000637D4
PtrSsmGet_Secondary_Air_Flow_P245___ 00063834
PtrSsmGet_Secondary_Air_Piping_Pressure_P244___ 0006364C
PtrSsmGet_Secondary_Wastegate_Duty_Cycle_P37___ 000632F0
PtrSsmGet_Soot_Accumulation_Ratio_P192___ 00063C18
PtrSsmGet_Sub_Accelerator_Sensor_P75___ 00063634
PtrSsmGet_Sub_Throttle_Sensor_P73___ 0006362C
PtrSsmGet_Switches_108_x_x_x_x_x_x_x___ 000633E4
PtrSsmGet_Switches_10_11_12_13_14_15_16_17___ 000633B8
PtrSsmGet_Switches_130_62_131_x_x_x_x_x___ 000636AC
PtrSsmGet_Switches_148_149_x_150_151_152_153_154___ 00063588
PtrSsmGet_Switches_155_156_157_x_x_x_x_x___ 00063884
PtrSsmGet_Switches_158_159_160_161_162_163_164_165___ 00063888
PtrSsmGet_Switches_168_169_170_171_172_x_x_x___ 00063964
PtrSsmGet_Switches_18_19_20_21_22_23_24_25___ 000633BC
PtrSsmGet_Switches_26_27_28_29_30_31_32_33___ 000633C0
PtrSsmGet_Switches_34_35_36_37_38_39_40_41___ 000633C4
PtrSsmGet_Switches_42_43_44_45_46_47_48_49___ 000633C8
PtrSsmGet_Switches_4_5_x_6_7_8_9_x___ 000633B4
PtrSsmGet_Switches_54_55_56_57_58_59_60_61___ 000633D0
PtrSsmGet_Switches_63_64_65_66_67_132_68_133___ 000636B0
PtrSsmGet_Switches_72_73_74_75_50_51_52_53___ 000633CC
PtrSsmGet_Switches_x_1_2_3_x_69_70_71___ 000633B0
PtrSsmGet_Switches_x_x_x_x_x_x_82_x___ 000633D4
PtrSsmGet_Target_Engine_Speed_P167___ 000639E4
PtrSsmGet_Target_Intake_Air_Amount_P159___ 000639C4
PtrSsmGet_Target_Intake_Manifold_Pressure_P158___ 000639C0
PtrSsmGet_Throttle_Motor_Duty_P71___ 00063614
PtrSsmGet_Throttle_Motor_Voltage_P72___ 00063618
PtrSsmGet_Throttle_Opening_Angle_P13___ 00063280
PtrSsmGet_Throttle_Sensor_Closed_Voltage_P115___ 000637D8
PtrSsmGet_Throttle_Sensor_Voltage_P19___ 000632A4
PtrSsmGet_Tumble_Valve_Position_Sensor_Left_P40___ 000632FC
PtrSsmGet_Tumble_Valve_Position_Sensor_Right_P39___ 000632F8
PtrSsmGet_VVL_Lift_Mode_P127___ 000636A4
PtrSsmGet_Vehicle_Speed_P9___ 0006326C
Radiator_Fan_Modes_A_ECT___ 000D8F34
Radiator_Fan_Modes_B_ECT___ 000D8F44
Radiator_Fan_Modes_Veh_Speed___ 000D8F54
Requested_Torque_Accelerator_Pedal_SIDRIVE_Intelligent_X_AXIS___ 000FA360
Requested_Torque_Accelerator_Pedal_SIDRIVE_Intelligent_Y_AXIS___ 000FA39C
Requested_Torque_Accelerator_Pedal_SIDRIVE_Intelligent___ 000FA3E0
Requested_Torque_Accelerator_Pedal_SIDRIVE_Sport_Sharp_X_AXIS___ 000FA0E0
Requested_Torque_Accelerator_Pedal_SIDRIVE_Sport_Sharp_Y_AXIS___ 000FA11C
Requested_Torque_Accelerator_Pedal_SIDRIVE_Sport_Sharp___ 000FA160
Requested_Torque_Accelerator_Pedal_SIDRIVE_Sport_X_AXIS___ 000F9E60
Requested_Torque_Accelerator_Pedal_SIDRIVE_Sport_Y_AXIS___ 000F9E9C
Requested_Torque_Accelerator_Pedal_SIDRIVE_Sport___ 000F9EE0
Requested_Torque_Base_RPM_Y_AXIS___ 000F9014
Requested_Torque_Base_RPM___ 000F9054
Requested_Torque_Limit_A_Per_GearEngine_Speed_X_AXIS___ 000F9C30
Requested_Torque_Limit_A_Per_GearEngine_Speed_Y_AXIS___ 000F9C70
Requested_Torque_Limit_A_Per_GearEngine_Speed___ 000F9C88
Requested_Torque_Limit_B_Per_GearEngine_Speed_X_AXIS___ 000F9D48
Requested_Torque_Limit_B_Per_GearEngine_Speed_Y_AXIS___ 000F9D88
Requested_Torque_Limit_B_Per_GearEngine_Speed___ 000F9DA0
Rev_Limit_Fuel_Cut___ 000CC46C
Rev_Limit_Fuel_Resume_Boost___ 000CC484
Rough_Correction_Learning_Delay_Increasing_Y_AXIS___ 000D39D8
Rough_Correction_Learning_Delay_Increasing____ 000D3A00
Rough_Correction_Minimum_KC_Advance_Map_Value___ 000D2D58
Rough_Correction_Range_Load___ 000D2D48
Rough_Correction_Range_RPM___ 000D2D38
Speed_Limiting_A_Throttle_SIDRIVE_SportSport_Sharp___ 000F8E48
Speed_Limiting_B_Throttle_SIDRIVE_SportSport_Sharp___ 000F8E60
Speed_Limiting_Disable_Fuel_Cut___ 000CC494
Speed_Limiting_Enable_Fuel_Cut___ 000CC48C
Speed_Limiting_Throttle_SIDRIVE_Intelligent___ 000F8E54
SsmGet_AF_Correction_1_P3___ 0005C2B0
SsmGet_AF_Correction_2_P5___ 0005C2E2
SsmGet_AF_Correction_3_32bit_ECU_P89___ 0005CCEA
SsmGet_AF_Learning_1_P4___ 0005C2CA
SsmGet_AF_Learning_2_P6___ 0005C2F8
SsmGet_AF_Learning_3_P66___ 0005CD02
SsmGet_AF_Sensor_1_Current_P54___ 0005C716
SsmGet_AF_Sensor_1_P58___ 0005C76A
SsmGet_AF_Sensor_1_Resistance_P56___ 0005C744
SsmGet_AF_Sensor_2_Current_P55___ 0005C72E
SsmGet_AF_Sensor_2_P59___ 0005C780
SsmGet_AF_Sensor_2_Resistance_P57___ 0005C758
SsmGet_Accelerator_Pedal_Angle_P30___ 0005C4E8
SsmGet_AirFuel_Correction_4_P117___ 0005D18E
SsmGet_AirFuel_Learning_4_P118___ 0005D1A4
SsmGet_Alternator_Control_Mode_P185___ 0005D72A
SsmGet_Alternator_Duty_P46___ 0005C66A
SsmGet_Atmospheric_Pressure_P24___ 0005C496
SsmGet_Battery_Current_P183___ 0005D716
SsmGet_Battery_Temperature_P184___ 0005D72E
SsmGet_Battery_Voltage_P17___ 0005C42E
SsmGet_Brake_Booster_Pressure_P77___ 0005D150
SsmGet_CPC_Valve_Duty_Ratio_P38___ 0005C550
SsmGet_Coolant_Temperature_P2___ 0005C1F4
SsmGet_Engine_Idle_Speed_User_Adjustment_AC_on_P241___ 0005CC78
SsmGet_Engine_Load_Relative_P1___ 0005C1EE
SsmGet_Engine_Speed_P8___ 0005C324
SsmGet_Estimated_odometer_P120___ 0005D1D0
SsmGet_Exhaust_OCV_Current_Left_P88___ 0005D2C2
SsmGet_Exhaust_OCV_Current_Right_P87___ 0005D2AE
SsmGet_Exhaust_OCV_Duty_Left_P86___ 0005D29A
SsmGet_Exhaust_OCV_Duty_Right_P85___ 0005D286
SsmGet_Exhaust_VVT_Advance_Angle_Left_P84___ 0005D272
SsmGet_Exhaust_VVT_Advance_Angle_Right_P83___ 0005D25E
SsmGet_Fine_Learning_Knock_Correction_P91___ 0005D5E4
SsmGet_Front_O2_Sensor_1_P14___ 0005C3E8
SsmGet_Front_O2_Sensor_2_P16___ 0005C426
SsmGet_Fuel_Injector_1_Pulse_Width_P21___ 0005C468
SsmGet_Fuel_Injector_2_Pulse_Width_P22___ 0005C47E
SsmGet_Fuel_Level_P35___ 0005C512
SsmGet_Fuel_Level_Sensor_Resistance_P119___ 0005D1BA
SsmGet_Fuel_Pump_Duty_P47___ 0005C67C
SsmGet_Fuel_Tank_Pressure_P154___ 0005D5FC
SsmGet_Fuel_Temperature_P31___ 0005C4FE
SsmGet_Global_Timing_User_Adjustment_Value_P239___ 0005CC5E
SsmGet_Ignition_Total_Timing_P10___ 0005C36E
SsmGet_Intake_Air_Temperature_P11___ 0005C386
SsmGet_Intake_OCV_Current_Left_P53___ 0005C700
SsmGet_Intake_OCV_Current_Right_P52___ 0005C6EA
SsmGet_Intake_OCV_Duty_Left_P51___ 0005C6D4
SsmGet_Intake_OCV_Duty_Right_P50___ 0005C6BE
SsmGet_Intake_VVT_Advance_Angle_Left_P49___ 0005C6A8
SsmGet_Intake_VVT_Advance_Angle_Right_P48___ 0005C692
SsmGet_Learned_Ignition_Timing_Correction_P153___ 0005CFDC
SsmGet_Learned_Ignition_Timing_P29___ 0005C4CA
SsmGet_Main_Accelerator_Sensor_P76___ 0005D12C
SsmGet_Main_Throttle_Sensor_P74___ 0005D0E4
SsmGet_Manifold_Absolute_Pressure_P7___ 0005C30E
SsmGet_Manifold_Relative_Pressure_P25___ 0005C4AC
SsmGet_Mass_Airflow_P12___ 0005C39C
SsmGet_Mass_Airflow_Sensor_Voltage_P18___ 0005C444
SsmGet_Memorised_Cruise_Speed_P82___ 0005D17A
SsmGet_Number_of_Exh_Gas_Recirc_Steps_P45___ 0005C658
SsmGet_Oil_Switching_Solenoid_Valve_OSV_Current_Left_P126___ 0005D24A
SsmGet_Oil_Switching_Solenoid_Valve_OSV_Current_Right_P125___ 0005D236
SsmGet_Oil_Switching_Solenoid_Valve_OSV_Duty_Left_P124___ 0005D222
SsmGet_Oil_Switching_Solenoid_Valve_OSV_Duty_Right_P123___ 0005D20E
SsmGet_Oil_Temperature_P122___ 0005D1FA
SsmGet_Primary_Wastegate_Duty_Cycle_P36___ 0005C53A
SsmGet_Radiator_Fan_Control_P92___ 0005C528
SsmGet_Rear_O2_Sensor_P15___ 0005C3F0
SsmGet_Roughness_Monitor_Cylinder_1_P63___ 0005CCDE
SsmGet_Roughness_Monitor_Cylinder_2_P64___ 0005CCE4
SsmGet_Roughness_Monitor_Cylinder_3_P69___ 0005CE90
SsmGet_Roughness_Monitor_Cylinder_4_P70___ 0005CE96
SsmGet_Roughness_Monitor_Cylinder_5_P151___ 0005CFD4
SsmGet_Roughness_Monitor_Cylinder_6_P152___ 0005CFD8
SsmGet_SIDrive_Mode_P114___ 0005D4B6
SsmGet_Secondary_Air_Flow_P245___ 0005D4C4
SsmGet_Secondary_Air_Piping_Pressure_P244___ 0005D164
SsmGet_Sub_Accelerator_Sensor_P75___ 0005D108
SsmGet_Sub_Throttle_Sensor_P73___ 0005D020
SsmGet_Switches_108_x_x_x_x_x_x_x___ 0005CC40
SsmGet_Switches_10_11_12_13_14_15_16_17___ 0005C938
SsmGet_Switches_130_62_131_x_x_x_x_x___ 0005D2DA
SsmGet_Switches_148_149_x_150_151_152_153_154___ 0005CDE4
SsmGet_Switches_155_156_157_x_x_x_x_x___ 0005D570
SsmGet_Switches_168_169_170_171_172_x_x_x___ 0005C1C0
SsmGet_Switches_18_19_20_21_22_23_24_25___ 0005C98C
SsmGet_Switches_26_27_28_29_30_31_32_33___ 0005CA18
SsmGet_Switches_34_35_36_37_38_39_40_41___ 0005CA78
SsmGet_Switches_42_43_44_45_46_47_48_49___ 0005CADE
SsmGet_Switches_4_5_x_6_7_8_9_x___ 0005C898
SsmGet_Switches_54_55_56_57_58_59_60_61___ 0005CBE6
SsmGet_Switches_63_64_65_66_67_132_68_133___ 0005D3D8
SsmGet_Switches_72_73_74_75_50_51_52_53___ 0005CB50
SsmGet_Switches_x_1_2_3_x_69_70_71___ 0005C7A6
SsmGet_Switches_x_x_x_x_x_x_82_x___ 0005CC04
SsmGet_Throttle_Motor_Duty_P71___ 0005CFF2
SsmGet_Throttle_Motor_Voltage_P72___ 0005D00A
SsmGet_Throttle_Opening_Angle_P13___ 0005C3D2
SsmGet_Tumble_Valve_Position_Sensor_Left_P40___ 0005C630
SsmGet_Tumble_Valve_Position_Sensor_Right_P39___ 0005C60C
SsmGet_VVL_Lift_Mode_P127___ 0005D2D6
SsmGet_Vehicle_Speed_P9___ 0005C35A
TD_Activation_Thresholds_RPM___ 000C0BE8
TD_Activation_Thresholds_Target_Boost____ 000C0BD4
TD_Integral_Cumulative_Range_WGDC_Correction___ 000C0BF0
TD_Integral_Negative_Activation_Boost_Error___ 000C0BDC
TD_Integral_Negative_Activation_Wastegate_Duty___ 000C0BE4
TD_Integral_Negative_Compensation_IAT_Y_AXIS___ 000C0C54
TD_Integral_Negative_Compensation_IAT___ 000C0CD4
TD_Integral_Positive_Activation_Boost_Error___ 000C0BE0
TD_Integral_Positive_Compensation_IAT___ 000C0CE4
TD_Proportional_Compensation_IAT___ 000C0CC4
Target_Boost_Compensation_1st_Gear_Speed_Disable___ 000C0C08
Target_Boost_Compensation_1st_Gear___ 000C0C0C
Target_Boost_Compensation_Atm_Pressure_X_AXIS___ 000C0E94
Target_Boost_Compensation_Atm_Pressure_Y_AXIS___ 000C0EAC
Target_Boost_Compensation_Atm_Pressure____ 000C0EC4
Target_Boost_Compensation_ECT___ 000C0CF4
Target_Boost_Compensation_IAT_Y_AXIS___ 000C0E24
Target_Boost_Compensation_IAT____ 000C0E3C
Target_Boost_X_AXIS___ 000C12D8
Target_Boost_Y_AXIS___ 000C1304
Target_Boost____ 000C1340
Target_Throttle_Plate_Position_Cruise_Requested_Torque_Ratio_X_AXIS___ 000F9484
Target_Throttle_Plate_Position_Cruise_Requested_Torque_Ratio_Y_AXIS___ 000F94C4
Target_Throttle_Plate_Position_Cruise_Requested_Torque_Ratio___ 000F9504
Target_Throttle_Plate_Position_Maximum_Requested_Torque_Ratio_X_AXIS___ 000F9984
Target_Throttle_Plate_Position_Maximum_Requested_Torque_Ratio_Y_AXIS___ 000F99C4
Target_Throttle_Plate_Position_Maximum_Requested_Torque_Ratio___ 000F9A04
Target_Throttle_Plate_Position_NonCruise_Requested_Torque_Ratio_X_AXIS___ 000F9704
Target_Throttle_Plate_Position_NonCruise_Requested_Torque_Ratio_Y_AXIS___ 000F9744
Target_Throttle_Plate_Position_NonCruise_Requested_Torque_Ratio___ 000F9784
Throttle_Tipin_Enrichment_A_Y_AXIS___ 000CEC74
Throttle_Tipin_Enrichment_A___ 000CECBC
Throttle_Tipin_Enrichment_B_Y_AXIS___ 000CECE0
Throttle_Tipin_Enrichment_B___ 000CED28
Timing_Comp_Maximum_RPM_Per_Cylinder___ 000D2C14
Timing_Comp_Minimum_Coolant_Temp_Per_Cylinder___ 000D2C1C
Timing_Comp_Minimum_Load_Per_Cylinder___ 000D2C18
Timing_Compensation_A_IAT_Activation_X_AXIS___ 000D4AFC
Timing_Compensation_A_IAT_Activation_Y_AXIS___ 000D4B1C
Timing_Compensation_A_IAT_Activation___ 000D4B3C
Timing_Compensation_A_IAT_Y_AXIS___ 000D30C4
Timing_Compensation_A_IAT___ 000D3104
Timing_Compensation_B_IAT_IAM_Activation___ 000D2B70
Timing_Compensation_B_IAT_Max_Additive___ 000D2B54
Timing_Compensation_B_IAT_Y_AXIS___ 000D3694
Timing_Compensation_B_IAT___ 000D36D4
Timing_Compensation_Imm_Cruise_A_ECT___ 000D30A2
Timing_Compensation_Imm_Cruise_B_ECT___ 000D30B2
Timing_Compensation_Imm_NonCruise_A_ECT___ 000D3082
Timing_Compensation_Imm_NonCruise_B_ECT_Y_AXIS___ 000D2E08
Timing_Compensation_Imm_NonCruise_B_ECT___ 000D3092
Timing_Compensation_Per_Cylinder_A_X_AXIS___ 000D50D0
Timing_Compensation_Per_Cylinder_A_Y_AXIS___ 000D5108
Timing_Compensation_Per_Cylinder_A___ 000D511C
Timing_Compensation_Per_Cylinder_B_X_AXIS___ 000D5164
Timing_Compensation_Per_Cylinder_B_Y_AXIS___ 000D519C
Timing_Compensation_Per_Cylinder_B___ 000D51B0
Timing_Compensation_Per_Cylinder_C_X_AXIS___ 000D51F8
Timing_Compensation_Per_Cylinder_C_Y_AXIS___ 000D5230
Timing_Compensation_Per_Cylinder_C___ 000D5244
Timing_Compensation_Per_Cylinder_D_X_AXIS___ 000D528C
Timing_Compensation_Per_Cylinder_D_Y_AXIS___ 000D52C4
Timing_Compensation_Per_Cylinder_D___ 000D52DC
Tipin_Enrichment_Applied_Counter_Reset___ 000CBB88
Tipin_Enrichment_Compensation_A_ECT___ 000CD0C1
Tipin_Enrichment_Compensation_B_ECT___ 000CED4C
Tipin_Enrichment_Compensation_Boost_Error_Y_AXIS___ 000CD094
Tipin_Enrichment_Compensation_Boost_Error___ 000CD0B8
Tipin_Enrichment_Compensation_C_ECT___ 000CED6C
Tipin_Enrichment_Compensation_D_ECT_Activation___ 000CC414
Tipin_Enrichment_Compensation_D_ECT_Y_AXIS___ 000CC5D0
Tipin_Enrichment_Compensation_D_ECT___ 000CEDAC
Tipin_Enrichment_Compensation_RPM_Y_AXIS___ 000CD044
Tipin_Enrichment_Compensation_RPM___ 000CD084
Tipin_Enrichment_Disable_Applied_Counter_Threshold_A_ECT___ 000CD0D1
Tipin_Enrichment_Disable_Applied_Counter_Threshold_B_ECT___ 000CD0E1
Tipin_Enrichment_Disable_Throttle_Cumulative_Threshold_A_ECT___ 000CEDCC
Tipin_Enrichment_Disable_Throttle_Cumulative_Threshold_B_ECT___ 000CEDEC
Tipin_Throttle_Cumulative_Reset___ 000CBB89
Turbo_Dynamics_Integral_Negative_Y_AXIS___ 000C0D3C
Turbo_Dynamics_Integral_Negative___ 000C0D60
Turbo_Dynamics_Integral_Positive_Y_AXIS___ 000C0D74
Turbo_Dynamics_Integral_Positive___ 000C0D98
Turbo_Dynamics_Proportional_Y_AXIS___ 000C0D04
Turbo_Dynamics_Proportional___ 000C0D28
U0073_CAN_COMMUNICATION_BUS_A_OFF 00098D2D
U0101_CAN_LOST_COMMUNICATION_WITH_TCM 00098D2A
U0122_CAN_LOST_COMMUNICATION_WITH_VDC 00098D2C
U0140_CAN_LOST_COMMUNICATION_WITH_BIU 00098D28
U0402_CAN_INVALID_DATA_RECEIVED_FROM_TCM 00098D29
U0416_CAN_INVALID_DATA_RECEIVED_FROM_VDC 00098D2B
U0422_CAN_INVALID_DATA_RECEIVED_FROM_BIU 00098D27
a1 000C2270
a333 000C4B4C
a333333bp 000D2938
a333_0 000D6350
aAFf 000D8FC8
aAFf_0 000D8FF4
aAFf_1 000C54CC
aAcshaA 00003206
aAe5k700l 000C0000
aAp 000C4B54
aB 000141B0
aBoff 000C0100
aBp 000D8FFC
aBs33b 000D9B44
aCb3c08 000BE990
aCmcBgbD34 000BE9B0
aCopyright1999H 00003374
aFff 000CBE78
aFffa 000C5614
aFffdz 000C52B0
aFsbweFmf5lR 000BDB80
aLmnoplmnopqrqr 00064EC4
aMsrRfccShcv9Ve 000BF858
aObd07cyh4nVer1 0000205C
aPf09cyh4tVer16 0000203C
aStst 00064ED4
asc_D8FD0 000D8FD0
asc_D8FD4 000D8FD4
def_12CD4 00012D84
def_3C034 0003C09E
jpt_12CD4 00012D28
jpt_3C034 0003C038
locret_10002 00010002
locret_10018 00010018
locret_105C2 000105C2
locret_109DC 000109DC
locret_10C 0000010C
locret_11014 00011014
locret_11122 00011122
locret_1150C 0001150C
locret_115A6 000115A6
locret_11620 00011620
locret_1171C 0001171C
locret_11730 00011730
locret_11D52 00011D52
locret_11D6C 00011D6C
locret_121D2 000121D2
locret_1260C 0001260C
locret_127F2 000127F2
locret_128 00000128
locret_136E2 000136E2
locret_136FA 000136FA
locret_138E4 000138E4
locret_15C8C 00015C8C
locret_16410 00016410
locret_16432 00016432
locret_16454 00016454
locret_16C46 00016C46
locret_16DFE 00016DFE
locret_16E32 00016E32
locret_17636 00017636
locret_17732 00017732
locret_1795C 0001795C
locret_1A1C0 0001A1C0
locret_1B5F0 0001B5F0
locret_1CD62 0001CD62
locret_1CD9A 0001CD9A
locret_1CFE4 0001CFE4
locret_1D3C0 0001D3C0
locret_1D8DA 0001D8DA
locret_1E588 0001E588
locret_1EF8C 0001EF8C
locret_1F57A 0001F57A
locret_1FB96 0001FB96
locret_1FBBA 0001FBBA
locret_1FBFC 0001FBFC
locret_1FC0C 0001FC0C
locret_2067A 0002067A
locret_20E86 00020E86
locret_20E96 00020E96
locret_20EA6 00020EA6
locret_21666 00021666
locret_21832 00021832
locret_21848 00021848
locret_21870 00021870
locret_21AE8 00021AE8
locret_21C2E 00021C2E
locret_22B6A 00022B6A
locret_232F2 000232F2
locret_23CD4 00023CD4
locret_256BE 000256BE
locret_26236 00026236
locret_27E26 00027E26
